C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/17/2017,00:00:00,REGULAR,0006224816,0002107317                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/17/2017,04:00:00,REGULAR,0006224850,0002107322                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/17/2017,08:00:00,REGULAR,0006224885,0002107352                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/17/2017,12:00:00,REGULAR,0006225005,0002107452                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/17/2017,16:00:00,REGULAR,0006225248,0002107513                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/17/2017,20:00:00,REGULAR,0006225548,0002107565                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/18/2017,00:00:00,REGULAR,0006225716,0002107586                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/18/2017,04:00:00,REGULAR,0006225741,0002107590                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/18/2017,08:00:00,REGULAR,0006225762,0002107607                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/18/2017,12:00:00,REGULAR,0006225879,0002107676                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/18/2017,16:00:00,REGULAR,0006226063,0002107714                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/18/2017,20:00:00,REGULAR,0006226295,0002107755                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/19/2017,00:00:00,REGULAR,0006226407,0002107778                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/19/2017,04:00:00,REGULAR,0006226413,0002107779                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/19/2017,08:00:00,REGULAR,0006226460,0002107870                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/19/2017,12:00:00,REGULAR,0006226625,0002108117                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/19/2017,16:00:00,REGULAR,0006226906,0002108190                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/19/2017,20:00:00,REGULAR,0006227611,0002108288                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/20/2017,00:00:00,REGULAR,0006227770,0002108316                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/20/2017,04:00:00,REGULAR,0006227785,0002108321                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/20/2017,08:00:00,REGULAR,0006227837,0002108448                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/20/2017,12:00:00,REGULAR,0006228001,0002108732                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/20/2017,16:00:00,REGULAR,0006228295,0002108798                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/20/2017,20:00:00,REGULAR,0006229118,0002108869                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/21/2017,00:00:00,REGULAR,0006229332,0002108905                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/21/2017,04:00:00,REGULAR,0006229347,0002108906                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/21/2017,08:00:00,REGULAR,0006229394,0002109010                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/21/2017,12:00:00,REGULAR,0006229553,0002109269                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/21/2017,16:00:00,REGULAR,0006229829,0002109341                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/21/2017,20:00:00,REGULAR,0006230582,0002109401                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/22/2017,00:00:00,REGULAR,0006230793,0002109424                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/22/2017,04:00:00,REGULAR,0006230811,0002109428                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/22/2017,08:00:00,REGULAR,0006230853,0002109532                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/22/2017,12:00:00,REGULAR,0006230992,0002109785                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/22/2017,16:00:00,REGULAR,0006231237,0002109833                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/22/2017,20:00:00,REGULAR,0006231957,0002109898                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/23/2017,00:00:00,REGULAR,0006232184,0002109920                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/23/2017,04:00:00,REGULAR,0006232214,0002109925                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/23/2017,08:00:00,REGULAR,0006232261,0002110012                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/23/2017,12:00:00,REGULAR,0006232419,0002110275                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/23/2017,16:00:00,REGULAR,0006232792,0002110350                                            
A002,R051,02-00-00,59 ST,NQR456W,BMT,06/23/2017,20:00:00,REGULAR,0006233500,0002110410                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/17/2017,00:00:00,REGULAR,0005621478,0001248984                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/17/2017,04:00:00,REGULAR,0005621501,0001248987                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/17/2017,08:00:00,REGULAR,0005621519,0001249008                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/17/2017,12:00:00,REGULAR,0005621643,0001249060                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/17/2017,16:00:00,REGULAR,0005621888,0001249104                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/17/2017,20:00:00,REGULAR,0005622148,0001249140                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/18/2017,00:00:00,REGULAR,0005622284,0001249152                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/18/2017,04:00:00,REGULAR,0005622302,0001249154                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/18/2017,08:00:00,REGULAR,0005622310,0001249166                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/18/2017,12:00:00,REGULAR,0005622404,0001249222                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/18/2017,16:00:00,REGULAR,0005622578,0001249264                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/18/2017,20:00:00,REGULAR,0005622793,0001249298                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/19/2017,00:00:00,REGULAR,0005622895,0001249312                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/19/2017,04:00:00,REGULAR,0005622904,0001249314                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/19/2017,08:00:00,REGULAR,0005622938,0001249366                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/19/2017,12:00:00,REGULAR,0005623057,0001249488                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/19/2017,16:00:00,REGULAR,0005623300,0001249539                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/19/2017,20:00:00,REGULAR,0005623865,0001249603                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/20/2017,00:00:00,REGULAR,0005623970,0001249625                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/20/2017,04:00:00,REGULAR,0005623976,0001249627                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/20/2017,08:00:00,REGULAR,0005624009,0001249676                                            
A002,R051,02-00-01,59 ST,NQR456W,BMT,06/20/2017,12:00:00,REGULAR,0005624162,0001249823                                            
